round	id	severity	class	mechanism_summary	production_files
R7	D7-01	medium	P5	identify_slab appends fixed-width 0.1kW pseudo-observation; clean data can't out-weigh it, +7.44% UA bias passes gate	sysid.py
R7	D8-01	medium	P6	SensorGapAdvisorSensor prices missing house-power meter from keys _build_data_dict never writes; publishes 0.00 SEK not 30.0	sensor.py, coordinator.py
R7	D8-02	low	P2	DHWSetpointAdvisorSensor is the one hot-water sensor not wrapped in _DHWEntityMixin; ships enabled-default & unavailable	sensor.py
R7	D9-01	medium	P6	36.1% of recorder-written entity-attribute bytes/cycle are either already-excluded-class series or byte-identical repeats	sensor.py
R7	D9-02	medium	P10	optimizer._lbfgsb_restart consumes 37.1% of gradients / 35.2% of CPU per default two-zone DHW solve (polish-per-candidate)	optimizer.py
R7	D9-03	low	I4	stress.py docstring says zero-range takes solve off batched jac; SolverWork's own definition disagrees by 96x	stress.py
R7	D10-01	low	I5	quality_scale.yaml marks strict-typing 'done' on a comment absent from the rule text; py.typed ships 0 files	quality_scale.yaml
R7	D10-02	medium	P2	runtime-data alias defined but only 10 of 100 entry parameters use it; 88 are bare ConfigEntry	__init__.py, services.py
R7	D11-01	high	I3	Friction-histogram filer step is skipped in 39/40 record-job runs whose preceding disposition-refusal step fails	governance.yml
R7	D11-02	medium	I3	friction_issues.mjs:decide never reads existing.state; recurrence written onto a closed issue, reported UPDATED	friction_issues.mjs
R7	D11-03	medium	I4	--sunset fires only on a self-declared marker; 0/39 policy files carry one, reports 'held(0)' as if measured	policy_lint.mjs
R7	D12-01	medium	P2	two_zone_mode='off' options-flow guard tests key-presence instead of the model's two_zone_enabled: 0 valve writes forever	config_flow.py, thermal_model.py
R7	D13-01	medium	I4	policy_lint.mjs:fetchWindow never fetches /pulls/<n>/reviews; a verdict posted as a review is invisible	policy_lint.mjs
R7	D13-02	medium	I4	Histogram matcher diverges from web-fix-wave.js's VERDICT_RE on four axes, all one-directional	policy_lint.mjs, web-fix-wave.js
R7	D13-03	medium	I4	record job's summary reads exit code only; an UNCHECKED window reports cleaner than a read one that found a violation	governance.yml
R7	D13-04	medium	I3	pull_request:[edited] re-runs 5/7 governance jobs; governance_cost.py publishes dispatch count as body-contract rounds	governance.yml
R7	D13-05	medium	I4	product-tradeoff-regression block class is outside VERDICT_CLASSES; histogram and parseVerdict disagree	policy_lint.mjs
R7	D13-06	medium	I4	Merge-keyed CFR counts a merge that passed the same lane at its own head (mutation: 4/7 merge-keyed vs 0/31 heads)	cfr_exclusions.json
R7	R7-INSTR-01	medium	I2	audit-find.js DIMS list has no D13 entry; a round driven by this workflow cannot register D13 findings at all	audit-find.js
